id,Question,Response
59119,coffin ?,mr . lime s . accident . . .
59120,baron kurtz .,must be some mistake .
59121,excuse me !,yes sir .
59122,did you know mr . lime well ?,mr . lime yes .
59123,mr . lime yes .,you remember me ? upstairs . . .
59124,you remember me ? upstairs . . .,yes yes i remember you .
59125,. . .popescu . . .,und ich kann nicht alle kennen .
59126,und ich kann nicht alle kennen .,what does he say ?
59127,happened . . .yes happened right down there .,you saw it ?
59128,could he have been conscious ?,conscious ? cas soll ich auch noch wissen ?
59129,. . .give evidence .,who else ?
59130,kurtz .,yes .
59131,yes .,the roumanian ?
59132,the roumanian ?,yes .
59133,yes .,and ?
59134,yes it is .,i am not a bad man .
59135,harry . . .,two double whiskeys . was wunschen sie ?
59136,funny ?,something wrong .
59137,that s all you meant ?,what else ?
59138,wasn t he at the police inquiry ?,he didn t want to get involved .
59139,no .,joseph harbin .
59140,joseph harbin .,joseph harbin ? no . . .no .
59141,third man .,a novel mr . martins ?
59142,mr . martins . . .,not when i get interested .
59143,. . .this time .,yes .
59144,should i make it all fact ?,why no mr . martins .
59145,. . .mr . martins ?,never .
59146,passport please .,oh .
59147,where are you staying ?,with him . fifteen stiffgasse .
59148,with him . fifteen stiffgasse .,his name ?
59149,lime . harry lime .,okay .
59150,excuse me .,yes ?
59151,yes ?,i m daffy .
59152,i m daffy .,richard . hi .
59153,help you out ?,yeah just ten or fifteen dollars maybe .
59154,yeah just ten or fifteen dollars maybe .,i m sorry i don t think so .
59155,what are you doing in thailand ? tourist ?,traveler .
59156,bonjour .,good morning .
59157,she means your neighbor . the scotsman,oh that noise ! yes he certainly did .
59158,oh that noise ! yes he certainly did .,we moved rooms because of him .
59159,nice work .,there is one problem .
59160,i don t know i m american .,so ?
59161,so ?,we think in miles not kilometers .
59162,everyone ok ?,we re ok .
59163,we re ok .,i think we re about half way .
59164,richard i saw a fin !,what !
59165,what !,a fin !
59166,big ?,yes .
59167,i m sorry .,a bit fucking late .
59168,she is gone !,what happened ?
59169,what about moliere ?,fuck off .
59170,one kilometer,two .
59171,two .,richard ?
59172,bonsoir .,eh bonsoir .
59173,did you sleep well ?,not too bad .
59174,hi .,hi there . here take a look .
59175,so from there to there ?,we swim .
59176,we swim .,swim ?
59177,have you told someone ?,no .
59178,i think so too .,one night i will get the perfect photograph .
59179,exactly .,richard you know something
59180,we lost our key .,where did you lose it ?
59181,exactly . always happened to someone else .,so ?
59182,whereas avi s a zionist nazi .,the zionists aren t nazis .
59183,they don t have extermination camps .,they had sabra and shattila .
59184,fucking danny man . . .,he s an asshole .
59185,that s a movie you moron .,fine go ahead . touch the letters .
59186,what do you think you re doing ?,who the fuck are you ?
59187,you coming ?,we ll go to the country sometime okay ?
59188,do we have to listen to this shit ?,yes .
59189,yes .,why d we have to leave so fast ?
59190,what do you care ?,i don t but . . .
59191,i don t but . . .,let s look at the fucking thing .
59192,yeah but not on the letters .,why the fuck not ?
59193,why the fuck not ?,just don t .
59194,i don t care about money .,you will .
59195,have you read toynbee ? spengler ?,nobody reads that stuff anymore .
59196,nobody reads that stuff anymore .,too difficult ?
59197,disease ? what disease ?,abstraction . they re obsessed with abstraction .
59198,where d you read all that stuff ?,i just read it . . . .
59199,why no silencer ?,you want it to be an event .
59200,what s he care about ?,killing himself .
59201,oh really ?,bigger and better .
59202,bigger and better .,then how come you re talking to me ?
59203,who s linda ?,why won t you talk to me ?
59204,when can i see you ?,you can t .
59205,your father ? ?,he s at a home out here .
59206,i m coming to your room tonight .,no .
59207,where d you get this ?,i stole it . from a synagogue .
59208,i want to learn to read it .,why ?
59209,who gets contaminated the jews or the gentiles ?,good question . both . aleph . . .
59210,good question . both . aleph . . .,it looks a little like a swastika .
59211,the sex is better .,even though his dick is so big ?
59212,even though his dick is so big ?,with you there s a tragic dimension .
59213,payn tash chiton v ashiytem . . .,v asitem . . .
59214,fuck that .,don t curse in front of it .
59215,don t curse in front of it .,why should i submit ?
59216,why should i submit ?,you shouldn t .
59217,you re learning the hebrew really fast .,i told you i m good at this .
59218,nazis talk about it all the time .,do they ?
59219,cause he wasn t a rabbi .,you want a punch in the mouth ?
59220,you gotta get out of here .,you don t own this place .
59221,who s eichmann ?,who s eichmann ? ! ! ?
59222,shema yisrael adonai elohenu adonai echod .,what d you say ?
59223,what d you say ?,nothing . let s go . . . .
59224,why are you taking that ?,i m stealing it .
59225,an investment banking house .,he s jewish ? manzetti ?
59226,more cultural than political .,obviously .
59227,that would be a catastrophic mistake .,people hate jews . do you agree ?
59228,sexuality ? ? ? what do you mean ?,you ever fuck a jewish girl ?
59229,you ever fuck a jewish girl ?,what ? ? ! ?
59230,what ? ? ! ?,did you ever fuck one guy ?
59231,and ? what did you notice ?,notice ? like what . . . ?
59232,notice ? like what . . . ?,jewish girls like to give head right ?
59233,jewish girls like to give head right ?,i don t know . is that right ?
59234,i don t know . is that right ?,and jewish men like to get it .
59235,and jewish men like to get it .,everybody likes to don t they ?
59236,why ?,because the jew is essentially female .
59237,because the jew is essentially female .,female . . .
59238,he has israel .,those aren t jews .
59239,those aren t jews .,of course they re jews .
59240,listen to me . . . .,why would nadelman lie ?
59241,did you kill ilio manzetti ?,no .
59242,what were you following me ?,how do you reconcile the two ?
59243,i always won .,the arguments anyway .
59244,to hear them read torah .,i thought you hated torah .
59245,i can t help what i think .,this is me .
59246,tell me about lina moebius .,how did you . . . ?
59247,you mean the i times i guy ?,which i times i guy ?
59248,a forty five .,it was a nine millimeter .
59249,it was a nine millimeter .,you re lying .
59250,i can t say that .,think about your father . your sister .
59251,danny i m trying to save you .,fucking kike .
59252,no !,yes !
59253,daniel balint .,balint ?
59254,balint ?,it s german .
59255,it s german .,what part of germany are you people from ?
59256,what part of germany are you people from ?,from the rhineland originally .
59257,do you feel you re making progress here ?,you mean ilio manzetti ?
59258,how have things been going ?,fine .
59259,what is happening ?,beth shalom . like you wanted .
59260,what about chicken ?,that s meat .
59261,steve . . .,steve s going to explain it .
59262,they re not my people . . . .,tell it to hitler .
59263,what kids ? . . .,the polacks ? from sacred heart ?
59264,who told you that ?,isn t it true ?
59265,who knows what that is ?,a jewish prayer .
59266,which was his room ?,number ten .
59267,you could do it .,get out of here . . . .
59268,which one were you aiming at ?,the mother .
59269,shut up . fuck you . . . .,what . . . ?
59270,open it up .,here . . .
59271,oh what is this shit ?,keep driving . don t slow down .
59272,keep driving . don t slow down .,christ . . .
59273,not too fast .,you said they didn t have night guards .
59274,who even knew ?,mrs . moebius .
59275,mrs . moebius .,why ? why would she ?
59276,where ?,i have an idea . . . .
59277,when do you want it to go off ?,seven thirty tomorrow evening .
59278,you remember miriam . . . .,yeah hey how re you doing . . .
59279,listen danny you can t just barge in and,shut up . . .
59280,who d you kill ?,four . but no one this important .
59281,how did you know they were jews ?,i can tell . . . .
59282,i can tell . . . .,how ?
59283,how ?,i was a jew in a previous life .
59284,and what did you do ?,what are you trying to say ?
59285,it s friday . . . .,do i give a shit ?
59286,do chickens give milk ?,exactly .
59287,who s this ?,dennis leary .
59288,dennis leary .,leary ?
59289,leary ?,no .
59290,howard stern .,obviously .
59291,adam sandler .,funny ?
59292,funny ?,not like mr . dorfmann .
59293,not like mr . dorfmann .,he was funny .
59294,fund raising ? ?,we think you d be good at it .
59295,beth shalom ? it s reform .,so what ?
59296,so what ?,they re not that jewish .
59297,we tested the new bomb .,what ?
59298,do you think i . . .,danny please we don t want to know .
59299,eat shit assholes . . . .,and let us say . . .
59300,he s shy not like enzo .,yes . not like enzo .
59301,are you going to keep it ?,yes .
59302,yes .,does he know ?
59303,does he know ?,no .
59304,no .,maybe you should talk to him about it .
59305,what kind ?,johana am i boring you ?
59306,what d you mean ?,the mafia ! la cosa nostra !
59307,what s happened ? ?,the documents are forged .
59308,the documents are forged .,no !
59309,i thought it was spanish that you spoke ?,italian is practically the same thing .
59310,i tell you she s mine !,hello !
59311,hello !,you know each other ?
59312,you know each other ?,yes .
59313,yes .,enzo molinari .
59314,where did you two meet ?,in a lake .
59315,you forgot the hula !,yes of course i ll do the hula !
59316,and just where are you from ?,italy !
59317,congratulations enzo .,don t you agree jacques ?
59318,well good night then . . .,you going to sleep here all by yourself ?
59319,you going to sleep here all by yourself ?,yes . . .
59320,the mamma s there too .,yes the mamma is is there .
59321,yes the mamma is is there .,good night enzo good night jacques .
59322,jacques ! johana !,enzo !
59323,what are you doing here ?,checking out the competition .
59324,checking out the competition .,enzo why do you guys do this ?
59325,enzo why do you guys do this ?,what else is there ?
59326,what else is there ?,you know what i m talking about .
59327,because you d laugh .,i won t i swear .
59328,. . . not yet .,don t .
59329,don t .,why ?
59330,five minutes and fifty seconds .,that idiot !
59331,ten thousand .,lira ?
59332,lira ?,dollars .
59333,roberto ? how long ?,six seconds .
59334,have the car painted .,santini will do that for dollars !
59335,santini will do that for dollars !,then tell him to wax it too .
59336,yes ?,find the frenchman . find me mayol .
59337,enzo wake up !,eh ? si ! avanti !
59338,is he here ?,he s training .
59339,plenty of women everywhere right ?,smoking is absolutely forbidden .
59340,smoking is absolutely forbidden .,it isn t lit yet .
59341,it isn t lit yet .,you shouldn t even carry cigarettes on board !
59342,the rules are the rules .,. . . what s your name again ?
59343,. . . what s your name again ?,noireuter .
59344,noireuter .,and where did you say you were from ?
59345,and where did you say you were from ?,i didn t say . . . brussels !
59346,jacques my friend how are you ?,enzo . . .
59347,yes i know .,i dove feet !
59348,i dove feet !,great !
59349,i remember . hi roberto !,what room have you got ?
59350,what room have you got ?,i don t have one .
59351,it s okay .,. . . you married ?
59352,people say that ?,forget it . i was joking .
59353,no no !,not at all !
59354,not at all !,you re staying at the hotel ?
59355,enzo ?,what ?
59356,what ?,your mother ?
59357,no .,then it s very chic . avanti !
59358,why ?,. . . for the mermaids .
59359,. . . everything .,everything about what ?
59360,everything about what ?,well . . . about everything .
59361,here . . . here . . .,what is it ?
59362,you still collect them ?,yes .
59363,yes .,you don t have that one do you ?
59364,can i come in ?,no problem i enjoy talking in my sleep .
59365,enzo enzo ! congratulations !,thank you thank you very much !
59366,you say that because you have the title !,no ! i would never cheat you .
59367,no ! i would never cheat you .,well that s very nice of you .
59368,you were right .,. . . i was right about what ?
59369,a drink to warm up ?,yes thank you . intravenous if possible .
59370,yes thank you . intravenous if possible .,tea . . . or whiskey ?
59371,who ?,the guy in the halloween suit !
59372,i recognize you .,we saw each other a little while ago .
59373,we saw each other a little while ago .,in the lake ?
59374,in the lake ?,no . . . in the hut .
59375,i thought you d be at the dinner .,it s too loud for me .
59376,you look adorable .,thank you . . .
59377,thank you . . .,. . . especially the sneakers .
59378,please move slowly you re rocking the boat .,lucky i was there to save you .
59379,lucky i was there to save you .,you jumped in ?
59380,you jumped in ?,only to help the medics i assure you .
59381,only to help the medics i assure you .,my wallet .
59382,i m glad you stayed . thank you .,i d better get back now .
59383,. . . no ?,no ? huh ? yes of course ! !
59384,how can you tell it s a female ?,. . . the way she moves .
59385,how do you know that ?,i don t know i just feel it .
59386,can i come watch you dive tomorrow ?,uh . . . yes of course !
59387,jacques you set a world record .,i did ?
59388,i m going back home .,why ?
59389,hello ?,it s me . . . johana .
59390,how are you ?,i got fired .
59391,so have i . . . . hello ?,i m still here .
59392,i m still here .,well then talk to me some more .
59393,then tell me a story .,uh . . . ah ! a story ?
59394,hello ?,it s me again .
59395,i m being a pain huh ?,. . . not at all .
59396,. . . not at all .,you sure ?
59397,you sure ?,absolutely positive .
59398,and you ?,i didn t dive .
59399,i didn t dive .,you ll try again tomorrow ?
59400,what ?,. . . nothing .
59401,jacques . . . ?,you go back i ll walk .
59402,you ve got to tell me what happened ?,i saw how it has to be .
59403,promise me one thing .,anything .
59404,anything .,promise you won t forget me .
59405,. . . are you sure ?,positive sir .
59406,you shouldn t dive everyday papa .,then you shouldn t eat everyday jacques .
59407,hey ! have you ever seen a mermaid ?,no .
59408,why don t you ask me ?,what ?
59409,assassin !,uncle louis this is my friend johana .
59410,where are you from henrietta ?,johana . . . new york .
59411,well . . . here .,in my apartment ?
59412,in my apartment ?,it s my apartment .
59413,what were italians doing living in greece anyway ?,louis we were french !
59414,again ?,they got the new t .v .
59415,you called the police ?,they re going to send detectives .
59416,well ?,what ?
59417,what ?,how was your trip ?
59418,i thought you said he was peruvian ?,haven t you been listening ?
59419,way past it .,does that have a hidden meaning ?
59420,does that have a hidden meaning ?,no . i m just depressed .
59421,what are they for ?,they re paramedics . they wait at feet .
59422,but doesn t jacques dive without anything ?,yes . . . it s magic .
59423,who . . . who is that ?,mayol . . . jacques mayol .
59424,i ll have to talk to the driver .,in the spring when he melts !
59425,you ve made me a happy insurance person .,then goodbye .
59426,wait ! professor . . . ?,. . . yes ?
59427,i ll go see how he s doing .,let him sleep .
59428,mordechai . thank god you re here .,what s up ?
59429,so why the long face ?,it s esther . santa s got her .
59430,it s esther . santa s got her .,my esther ! oh mordechai .
59431,so . do you have a name ?,it s esther .
59432,mr . jefferson carver ?,please call me mordechai .
59433,that got annoying fairly quickly .,yeah no kidding .
59434,want to get a drink ?,sure . why not .
59435,what was that ! ?,i said do you come here often ! ?
59436,what ! ?,i said yeah about once a week !
59437,i said yeah about once a week !,oh !
59438,mordechai ?,yes esther .
59439,yes esther .,i want you to talk dirty to me .
59440,i want you to talk dirty to me .,oh . okay .
59441,esther !,mordechai !
59442,esther !,mordechai !
59443,you two know each other ?,we go to the same temple .
59444,happy hanukkah tikva .,happy hanukkah morty .
59445,what s wrong with him ?,he s still working out some identity issues .
59446,a stereo type alarm system ?,take a look .
59447,hammer you alright ?,everything s kosher . watch him for me .
59448,i wasn t too over the top ?,no it was the perfect level .
59449,maybe he ran out of ammo .,take a look .
59450,what day is it ?,it s friday .
59451,good looking ?,mmm yes .
59452,mmm yes .,nice fellow ?
59453,is he in love with you ?,i don t know
59454,this is for mama and the kids .,what about me ?
59455,what about me ?,you get your money from your husband .
59456,i drink .,and when you drink you get drunk .
59457,then what do you do ?,i sleep it off .
59458,sure .,let s get in your truck .
59459,where s that man ?,up at the museum .
59460,sure !,no . i m serious about this .
59461,charlie wasn t drunk last night .,yes i was drunk mr . manning .
59462,what do you want to see him for ?,i want him to lock me up .
59463,two hundred and fifty dollars you owe met,you found the leopard !
59464,what s left of him .,where ? where did you find it ?
59465,who ?,the elderly man i told you about .
59466,cut .,what are you doing that for ?
59467,something black something on its way to you,go on
59468,don t look at it !,let me see it
59469,the death card,maybe not cards mean different things different times
59470,see you tomorrow,tomorrow
59471,pedro is waiting for me too .,rosita i have wondered
59472,rosita i have wondered,what senorita ?
59473,hey i m over here .,i ll miss you too honey
59474,well i d best be off .,i want to ask you something .
59475,it s about the leopard .,you re worrying about its killing someone else ?
59476,that s right of course .,don t feel so concerned jerry .
59477,doc something you said the other day,yes ?
59478,you know charlie how come ?,we re old friends .
59479,come to look around ?,more or less .
59480,about charlie s leopard ?,yes .
59481,yes but what sort of a man ?,i don t know .
59482,it was you galbraith !,no .
59483,no .,it was you .
59484,it was you .,not ! i tell you . no !
59485,it s better you don t know .,tell me .
59486,that was unfortunate .,that was a calamity !
59487,i ve disturbed,you . i m sorry
59488,state hunters ?,professional hunters who rid the state of cougars .
59489,yes . the lipstick .,why ?
59490,are you all right ?,now look what you ve done .
59491,yeah .,and did you find the leopard ?
59492,,as long as my feet held out .
59493,i know . funerals .,yes .
59494,maybe i want to feel badly .,that doesn t make sense .
59495,what else do you care about kicks ?,you . us .
59496,kiki it wasn t the leopard .,you re positive of that aren t you ?
59497,you re positive of that aren t you ?,absolutely sure .
59498,we stood here once before .,i know teresa
59499,that s right .,will you please come with me ?
59500,will you please come with me ?,that might depend on where you re going .
59501,good afternoon . de moraes s residence .,could i speak to carlos or deborah ?
59502,appearances can be deceptive mrs de moraes .,that depends what you re looking at .
59503,now you are confusing me mrs de moraes .,can it be that easy ?
59504,i found this at your brother s .,disney ! how inter . . .
59505,mr lombard ?,have you got a pen ?
59506,have you got a pen ?,just a moment . . . go ahead .
59507,paul lamont . . . ?,yeah . goodnight mrs de moraes .
59508,mr lombard . . .,how are you mrs de moraes ?
59509,how are you mrs de moraes ?,when did you get back ?
59510,black suits you .,sorry ?
59511,what do you mean no mrs de moraes ?,my brother hung himself .
59512,i don t .,good .
59513,good .,is there anything to understand ?
59514,you splendid bastard . . .,are there truly no extenuating circumstances ?
59515,are there truly no extenuating circumstances ?,. . .we re turning in circles .
59516,something like that .,something like that ?
59517,something like that ?,something like that .
59518,here we go again .,where is that ?
59519,where is that ?,simplify and damn .
59520,simplify and damn .,don t you believe in simplicity ?
59521,don t you believe in simplicity ?,should i ?
59522,a coffee and a couple of croissants .,crow what ?
59523,crow what ?,croissants .
59524,by your austrian ?,yeah .
59525,a criminal ?,did you not enter this country illegally ?
59526,yeah . goodnight emily .,don t fall asleep with your hair wet .
59527,we re both thinking the same thing right ?,do you know a friendly cop ?
59528,i m calling about the puppies .,have we done business before ?
59529,may i have your phone number ?,why ?
59530,why ?,this is a bad line .
59531,what sort of puppy are you looking for ?,what sort have you got ?
59532,yes . . . good good . . .,so what are you looking for ?
59533,so what are you looking for ?,what about an untrained pup white . . .
59534,what about an untrained pup white . . .,how much of a hurry are you in ?
59535,how much of a hurry are you in ?,tomorrow ?
59536,on the bed !,what . . . ?
59537,where is the austrian ?,you . . . fuck you !
59538,yes . friedman s the fuckin austrian !,where is he ?
59539,yeah . . . the diplomat .,where ?
59540,where ?,what ?
59541,what ?,where are we ?
59542,where are we ?,finsbury park . we re in finsbury park .
59543,finsbury park . we re in finsbury park .,where are the kids ?
59544,where are the kids ?,what kids ?
59545,b black . . .,where is it ?
59546,you sure you passed on my message ?,i certainly did sir . . .
59547,carlos de moraes ?,yes . how did . . .
59548,yes . how did . . .,thank you jane .
59549,i hope it s not too significant .,what if it is ?
59550,whatever you come recommended . we . . .,recommended ?
59551,recommended ?,must i speak to you in french ?
59552,how did you do that mrs spitz ?,do what mr lombard ?
59553,yesterday . it all looked normal .,did you look for his passport driving licence ?
59554,the is on account .,my rates . . .
59555,what happens now ?,we conclude our transaction .
59556,vous etes francais ?,does it matter ?
59557,problems ?,is my money in there ?
59558,friedman lives with you at the ambassador ?,no . in hampstead . . . why ?
59559,no . in hampstead . . . why ?,don t jump any red lights .
59560,this car needs petrol .,shut up and drive !
59561,what is ?,dying without ever reaching the top . . .
59562,yeah .,at what time will you be available ?
59563,at what time will you be available ?,three o clock .
59564,five to three . you re early .,should i come back in five minutes ?
59565,shut up ! where s your wallet ?,in my jacket . left inside pocket .
59566,should i be ?,what s a french private investigator doing here ?
59567,what s a french private investigator doing here ?,can i get up now ?
59568,he just said he had good reasons .,good reasons ?
59569,how s the boy doing ?,fine . . .
59570,los angeles ?,los angeles is miles away .
59571,welcome to the club .,excuse me ?
59572,what about his girlfriend ?,what about which girlfriend ?
59573,qu est ce que tu veux ?,un autrichien . negociant en pre pubescents .
59574,cinq cents .,viens .
59575,ou est passe ton salon ?,mon bureau coutait trop cher .
59576,alors ?,alors quoi ?
59577,then why don t you reach him ?,i don t have your credentials nathalie .
59578,five seconds . then you die .,fuck . . .
59579,fuck . . .,three . . .
59580,three . . .,gluck s dead you sonofabitch !
59581,the acid bath ?,huh ! you ve been around eh ?
59582,if he had you d be dead .,so why didn t he ?
59583,so why didn t he ?,what do you think huh ?
59584,when they realise i m missing . . .,shut up and walk . . .
59585,mossad ?,it s a good guess . . .
59586,cost what ?,costliest !
59587,costliest !,what s that ? a word ?
59588,what s that ? a word ?,what do you think ?
59589,that s a good idea sire .,what do you mean ?
59590,very generous of you all . how much ?,gold crowns .
59591,i would like some fresh straw .,louis . . . water and fresh straw !
59592,and i would like to see a priest .,now ?
59593,now ?,yes . i didn t confess today .
59594,yes . i didn t confess today .,right . raymond . . . a priest .
59595,now ?,better today than tomorrow .
59596,what s going on ? !,they ve started the battle without me !
59597,well . . .,come with me . . .
59598,i ll go .,jeanne no . . .
59599,tell me . . .,tell the king to give me more men .
59600,but it is what i want .,to be killed in battle ?
59601,we must sound the retreat !,not yet !
59602,do as i say !,i want to stay with you . . .
59603,i want to stay with you . . .,that s an order !
59604,i i don t understand . . .,one day you will .
59605,jeanne s alive !,good .
59606,good .,we have to press home the attack !
59607,we have to press home the attack !,sound the retreat . . .
59608,sound the retreat . . .,but i promised jeanne we d fight on !
59609,no . . .,did god forbid you to tell the truth ?
59610,i tried to .,it was on a sunday wasn t it ?
59611,it was on a sunday wasn t it ?,i don t remember . maybe .
59612,do you have a sword ?,quite a few .
59613,quite a few .,didn t you also carry a banner ?
59614,didn t you also carry a banner ?,yes . . .
59615,why ?,to avoid killing anyone .
59616,yes probably . . . maybe . . .,so sometimes you were carrying just your sword ?
59617,so sometimes you were carrying just your sword ?,yes but . . .
59618,w w what are you doing ? !,performing a miracle .
59619,am i . . . am i dead ?,dead you re worthless darling .
59620,dead you re worthless darling .,where . . . where am i ?
59621,where . . . where am i ?,guess .
59622,god defeated the english not me .,and god who allowed you to be caught ?
59623,are you alright ? did they hurt you ?,no no i m fine really . . .
59624,quick hide in here . . .,what about you ?
59625,in a village called domremy .,how old are you ?
59626,how old are you ?,nineteen . . . or thereabouts . . .
59627,nineteen . . . or thereabouts . . .,were you baptized ?
59628,were you baptized ?,yes . in the church at domremy .
59629,yes . in the church at domremy .,recite the lord s prayer .
59630,recite the lord s prayer .,not unless you hear my confession .
59631,not long ago . . .,when exactly ? a day a week when ?
59632,when exactly ? a day a week when ?,last night .
59633,what were you doing when the voice came ?,praying .
59634,praying .,the voice was in your cell ?
59635,the voice was in your cell ?,yes .
59636,yes .,what did it tell you ?
59637,what did it tell you ?,many things . . .
59638,many things . . .,did it give you advice ? good advice ?
59639,he s feeling wonderful .,thanks be to god .
59640,thanks be to god .,and your duke ? the duke of bedford ?
59641,his face .,does he have hair ?
59642,does he have hair ?,yes .
59643,yes .,is it long and hanging down ?
59644,gold crowns .,that s not a lot .
59645,may i without offending you inquire how generous ?,gold crowns .
59646,were you sent by lord dunois ?,yes . . . they were .
59647,yes . . . they were .,good . where are the english ?
59648,good . where are the english ?,everywhere . where is the food ?
59649,i know . . .,good . can you bring me to him ?
59650,wait wait . . .,for what ?
59651,can we uh discuss this later ?,sooner is better than later !
59652,what s going on ?,we re taking back the tourelles !
59653,stand by with the battering rams . . .,we need another ten minutes . . .
59654,we need another ten minutes . . .,the bridge won t wait !
59655,well . . . ? shall we go ?,not yet .
59656,not yet .,the english won t wait .
59657,yes . we can pray .,good idea . . .
59658,this is no good !,no good ? this is a disaster !
59659,but the bridge has been pulled down !,the english are rebuilding it .
59660,clear ?,perfectly .
59661,so . . . bring up the reinforcements !,reinforcements ? where ? ?
59662,jeanne look behind you .,never look behind only ahead !
59663,do you know how to count ?,of course i do ? bring them up !
59664,who told you to wear men s clothes ?,the clothes are not important . . .
59665,did your voice tell you to jump ?,no . . .
59666,no !,oh ? perhaps someone pushed you then ?
59667,stop it ! what are you doing ?,nothing . . . just taking his teeth .
59668,yeah . . .,here take this instead .
59669,who gave you that horse ?,my king .
59670,my king .,how many did he give you ?
59671,how many did he give you ?,five steeds and a few hackneys . . .
59672,jeanne . . . what are you doing ?,playing . . .
59673,what have you done to me ?,i i i . . .
59674,what are you doing out here ?,i might ask you the same question .
59675,why ? are you waiting for someone else ?,yes !
59676,yes !,who ?
59677,they won t come anyway .,what do you mean they won t come ?
59678,what do you mean they won t come ?,why would they ?
59679,god asked you to do something ?,yes . . . lots of things !
59680,yes . . . lots of things !,you mean god said i need you jeanne ?
59681,i never took pleasure in hurting anyone ?,really ?
59682,do you think this cross will protect you ?,no i . . .
59683,i don t think so .,are you going to leave me too ?
59684,yes i am .,are you willing to follow all his commandments ?
59685,are you willing to follow all his commandments ?,yes . . .
59686,you think you are ready now ?,yes my lord .
59687,yes my lord .,let s see .
59688,i need to confess .,but you already confessed this morning . . .
59689,but you already confessed this morning . . .,i need to confess again .
59690,whose were they ?,my father s .
59691,my father s .,i m sure he ll forgive you .
59692,oh yes . . . very .,and your mother everything s fine with her ?
59693,and your mother everything s fine with her ?,oh yes she s . . . wonderful .
59694,who is this he ?,he never says his name .
59695,beautiful .,and what does he say to you ?
59696,why did she have to die ?,only god knows the answer to that .
59697,someone you know ?,yes .
59698,i m going to get a doctor .,you can t it s too dangerous .
59699,wladek please .,no one plays chopin like you .
59700,wladyslaw szpilman .,dorota .
59701,dorota .,come in ! come in !
59702,i need help .,he ll be back before curfew .
59703,how long have you been married ?,just over a year .
59704,and how s yurek ?,dead .
59705,what did i tell you ?,what are you doing ?
59706,will i still be able to play ?,let s find out .
59707,it s not going to be very comfortable .,i ll be fine .
59708,get your things together you have to leave !,what s happened ?
59709,i m on the run !,what s happened ?
59710,have you seen this ?,what i m working what ?
59711,halina ?,what ?
59712,what ?,funny time to say this .
59713,funny time to say this .,what ?
59714,what ?,wish i knew you better .
59715,wish i knew you better .,thanks .
59716,henryk s in there .,i haven t seen him .
59717,i haven t seen him .,believe me they ve picked him up .
59718,believe me they ve picked him up .,tough luck .
59719,tough luck .,can you help ?
59720,can you help us ?,it costs .
59721,it costs .,i ve no money .
59722,yitzchak they told me you had influence .,who told you ?
59723,we re recruiting .,who s recruiting ?
59724,and suppose they take the table away ?,what d you mean take the table away ?
59725,they bombed us we re off the air .,warsaw s not the only radio station .
59726,mama that was a great dinner .,it certainly was .
59727,no no . listen i ve been thinking,that makes a change .
59728,i can look after myself !,they were taking you away .
59729,what s the matter ? are you sick ?,hungry .
59730,otherwise what ?,you ll be deported .
59731,very appropriate .,yes that s why i brought it .
59732,so what s the news ?,the germans are advancing on kharkhov .
59733,jurek ? wladek szpilman .,wladek ! how are you ?
59734,wladek ! how are you ?,fine we re fine thank you and you ?
59735,pig !,cow !
59736,cow !,pig !
59737,pig !,bitch !
59738,bitch !,dirty pig !
59739,dirty pig !,you re a dirty pig !
59740,you re a dirty pig !,takes one to know one ! pig !
59741,i was listening kitten .,liar you fell asleep . pig !
59742,thank god wladek ! you re wounded .,it s a little cut nothing .
59743,it s a little cut nothing .,i ve been worried sick .
59744,pack darling get your things pack .,where are we going ?
59745,where are we going ?,out of warsaw .
59746,out of warsaw .,out of warsaw . where ?
59747,pack wladek there s no time .,i m not going anywhere .
59748,you don t remember me mr . szpilman ?,no i don t think so ?
59749,where are you hiding ?,in the attic .
59750,in the attic .,show me .
59751,what s happening ?,we re getting out .
59752,are the russians here ?,not yet .
59753,szpilman .,szpilman . good name for a pianist .
59754,watch your feet !,watch your feet !
59755,careful ! watch his hand .,watch his hand
59756,to be deaf ?,oh yes dear too terrible ! awful !
59757,yes like a cave .,ohh no it makes my skin creep !
59758,no sound at all ?,no it was a table .
59759,oh yes yes of course a concern .,there is something to be said for silence
59760,there is something to be said for silence,oh indeed . cotton .
59761,my real father was a famous german composer,ohh the tag is broken .
59762,which mountains are those dear ?,the alps .
59763,the alps .,ohhh i ve never been there .
59764,well that is a strong opinion .,yes it s unholy .
59765,she looks tired .,she s stunted that s one thing .
59766,what s he say ?,someone died here . it s tapu .
59767,on your property ?,yes
59768,i d like to make a swap .,what for ?
59769,what for ?,the piano .
59770,you d have to organise it up here .,yes i thought that .
59771,i don t want to learn .,you don t want to learn .
59772,you don t want to learn .,no .
59773,has ada ever spoken to you ?,you mean in signs ?
59774,you mean in signs ?,no words . you have never heard words ?
59775,no words . you have never heard words ?,no not words .
59776,you have to wash them .,they are washed .
59777,everyone has to practice .,i just want to listen .
59778,quiet down ! shhh ! where is she ?,he chopped it off
59779,what did she say ?,she says throw the piano overboard .
59780,what s in here then lead ?,it s my mother s piano .
59781,it s my mother s piano .,a piano ?
59782,oh no it can t come now .,it must come .
59783,hello then .,hello .
59784,what on ?,on your piano that is the swap .
59785,you ve missed this bit .,she never gives him a turn .
59786,and when is the next lesson ?,tomorrow .
59787,play a gig .,do i know any gigs ?
